id,cart_id,item_type,quantity,unit_price_cents,unit_price_points,bounty_id,related_bounty_bid_id,created_at,updated_at
MLvKWa6j9nEpj5DUpksEBJ,FFTpuXy3SfEa8BjZWjv61r,BOUNTY,1,50000,0,MiK6qwWTG6x7uDL3LbHY43,,2024-09-10 18:30:00,2024-09-10 18:30:00
Gic7jme75mDYoAvnYd7Qzs,FFTpuXy3SfEa8BjZWjv61r,PLATFORM_FEE,1,5000,0,,,2024-09-10 18:30:00,2024-09-10 18:30:00
7acMbg5sNAXT5sG4VsgGWu,FFTpuXy3SfEa8BjZWjv61r,SALES_TAX,1,2500,0,,,2024-09-10 18:30:00,2024-09-10 18:30:00
7GHa5aBZe986zM4Kf95Wdz,Rh6o8nm2AFo9vr2z4XD5Xq,BOUNTY,1,0,1000,5oyAnd2Tea9oThG5LciDoE,,2024-09-10 18:31:00,2024-09-10 18:31:00
TbGiLjpQzhBGqQdZo8hHQe,QkKR3xCSM9M5GqHHQ8hCBb,BOUNTY,1,75000,0,LU3npoyLctcnmAeaQmWgeF,,2024-09-10 18:32:00,2024-09-10 18:32:00
VHbTn42DjUARGjcUv3DUPQ,QkKR3xCSM9M5GqHHQ8hCBb,PLATFORM_FEE,1,7500,0,,,2024-09-10 18:32:00,2024-09-10 18:32:00
GKBiCskKmmgBVfEs13QXyp,71YME2FtJJoGYNQ3ejmcBp,BOUNTY,1,0,1500,37CEoTwyhjWDqULXvUxu7T,,2024-09-10 18:33:00,2024-09-10 18:33:00
AayAdNFa7Uof5ETj6q5way,HRA5FLToKrNXWuxmpygRmL,BOUNTY,1,100000,0,Sa4UHQ5WxpUqtvvvT4PSGT,,2024-09-10 18:34:00,2024-09-10 18:34:00
DwWPuvA7tBbah2WVZ8NYxT,HRA5FLToKrNXWuxmpygRmL,PLATFORM_FEE,1,10000,0,,,2024-09-10 18:34:00,2024-09-10 18:34:00
3ZYdsryEYuPqM63WJSNPmQ,HRA5FLToKrNXWuxmpygRmL,SALES_TAX,1,5000,0,,,2024-09-10 18:34:00,2024-09-10 18:34:00
T5kL8NWC5TVAxYDdQpc7YB,RgpNwkgPAVsVuqPBCt6iir,BOUNTY,1,0,2000,DFeFJtmiaqnzgPpX8PRWsV,,2024-09-10 18:35:00,2024-09-10 18:35:00
5HASyxgn8PxHeMnqTGsZRx,9GfJJtempof6EUtF3RkKdN,BOUNTY,1,30000,0,49476c73rp4zanehPGzTc6,,2024-09-10 18:36:00,2024-09-10 18:36:00
JWKfSb3xkX8dS4GTriDcpU,9GfJJtempof6EUtF3RkKdN,PLATFORM_FEE,1,3000,0,,,2024-09-10 18:36:00,2024-09-10 18:36:00
9etEC4ZHX5fH6duR2NJruR,EbdkQvkGSjfinqNsCR389F,BOUNTY,1,0,2500,7AsnpkaYjGzTfeuJ4mbCuZ,,2024-09-10 18:37:00,2024-09-10 18:37:00
4C4T4VpXPgG2dVNJLQw5ae,W1hdnDmsU9FrcwP5q9Zo2s,BOUNTY,1,120000,0,9KDULNy893KgEwn7insRQS,,2024-09-10 18:38:00,2024-09-10 18:38:00
D9a9u5S4SHhmGYaKwL6YQL,W1hdnDmsU9FrcwP5q9Zo2s,PLATFORM_FEE,1,12000,0,,,2024-09-10 18:38:00,2024-09-10 18:38:00
7oiTAbUJTL4kSsALzYgPJz,W1hdnDmsU9FrcwP5q9Zo2s,SALES_TAX,1,6000,0,,,2024-09-10 18:38:00,2024-09-10 18:38:00
Ya9bfunnzStXMKnrA6XhHY,EXEt1n5bXS1zZqdNHqCsnj,BOUNTY,1,0,1800,PNvkUvT6irfYyrJX9At2X3,,2024-09-10 18:39:00,2024-09-10 18:39:00
G8GPQt6uoxmzVPWL8xWrvr,FFTpuXy3SfEa8BjZWjv61r,INCREASE_ADJUSTMENT,1,10000,0,MiK6qwWTG6x7uDL3LbHY43,1,2024-09-10 18:40:00,2024-09-10 18:40:00
7pWdLTJhqtBdJKSweD7Qto,Rh6o8nm2AFo9vr2z4XD5Xq,DECREASE_ADJUSTMENT,1,5000,0,5oyAnd2Tea9oThG5LciDoE,2,2024-09-10 18:41:00,2024-09-10 18:41:00
