id,event_type,permitted_params,title,template
822RNALwFvjqr5B4Mb7Xi6,1,user_name;reset_link,Password Reset,password_reset_template
U372TbcBLofUaVmueFGk3H,2,user_name;verification_code,Email Verification,email_verification_template
6nu8Ei3CqAxGvNZByJMMye,3,user_name;bounty_title,New Bounty Available,new_bounty_template
2vGPAZG5UR5so9rcy839u6,4,user_name;product_name,Product Update,product_update_template
65J3vf63nRf8sZX6ZQVrhP,5,user_name;challenge_title,Challenge Invitation,challenge_invitation_template
87RD2hQp2tJm1B7yHpvdkd,6,user_name;competition_title,Competition Announcement,competition_announcement_template
Y6CYaM1HM8453jmCzKuCgM,7,user_name;agreement_title,New Contributor Agreement,new_agreement_template
6bqXPWtobi12CaVb3ub6jA,8,user_name;bug_title,Bug Report Update,bug_update_template
G44zXMNnv9y5sK8QSRiaeR,9,user_name;idea_title,Idea Approval,idea_approval_template
HNWRr2PsSua6GQGHaG4qPV,10,user_name;payment_amount,Payment Confirmation,payment_confirmation_template
