id,bounty_id,skill_id,expertise_ids
BSkL1nPqR8vWxYzKmH2Jt3,MiK6qwWTG6x7uDL3LbHY43,PpPToH72Ng1rbWvV7mh5Mk,"23,24,27,28"
BSkT2mQrS9wXzALnI3Ku4v,5oyAnd2Tea9oThG5LciDoE,2ZCwc8XRzuvtQwDDuHj5LP,2
BSkU3nRsT0xYzBMoJ4Lv5w,LU3npoyLctcnmAeaQmWgeF,SnSj7hpZwbZHNuW26uSJo3,4
BSkV4oStU1yZzCNpK5Mw6x,37CEoTwyhjWDqULXvUxu7T,WKm7reW5MuxR8xbtyDMkkd,"6,7,8,10,11"
BSkW5pTuV2zAzDOqL6Nx7y,Sa4UHQ5WxpUqtvvvT4PSGT,EAYbaFWKRKvxyVJFsyK7v4,"13,14,16,17"
BSkX6qUvW3AzEPrM7Oy8z,DFeFJtmiaqnzgPpX8PRWsV,AnL2GnAWDircPWzgVGXPZq,33
BSkY7rVwX4BzFQsN8Pz9A,49476c73rp4zanehPGzTc6,BxnJFMmfBj3pKcQuFBHKQt,35
BSkZ8sWxY5CzGRtO9QA0B,7AsnpkaYjGzTfeuJ4mbCuZ,EAYbaFWKRKvxyVJFsyK7v4,"13,14,16,17,19,20,21"
BSkA9tXyZ6DzHSuP0RB1C,9KDULNy893KgEwn7insRQS,PpPToH72Ng1rbWvV7mh5Mk,"23,24,25,27,28"
BSkB0uYzA7EzITvQ1SC2D,PNvkUvT6irfYyrJX9At2X3,WKm7reW5MuxR8xbtyDMkkd,"6,7,8"
