id,created_at,person,product,role,updated_at,uuid
1,2024-05-06T17:34:37.042Z,1,1,CONTRIBUTOR,2024-05-06T17:34:37.042Z,2772b0e4-4fee-4721-a64b-380a87927196
2,2024-05-06T17:34:37.044Z,2,2,CONTRIBUTOR,2024-05-06T17:34:37.044Z,eac45695-a910-4c45-b0e1-1df6329c3941
3,2024-05-06T17:34:37.046Z,3,3,CONTRIBUTOR,2024-05-06T17:34:37.046Z,dfc2fc59-84c0-4c69-8ff2-952f003154c4
4,2024-05-06T17:34:37.048Z,4,4,CONTRIBUTOR,2024-05-06T17:34:37.048Z,9fc89d4a-502e-41c0-9746-619109c6cd14
5,2024-05-06T17:34:37.049Z,5,5,CONTRIBUTOR,2024-05-06T17:34:37.049Z,ed23c7ca-16c2-42cf-8cb5-1a1da47e5ecb
6,2024-05-06T17:34:37.050Z,6,6,CONTRIBUTOR,2024-05-06T17:34:37.050Z,a9c558bb-21f0-4047-95a7-633c5b76fede
7,2024-05-06T17:34:37.052Z,7,7,MANAGER,2024-05-06T17:34:37.052Z,cca6ce34-b546-45fd-a158-3f020d442a1c
8,2024-05-06T17:34:37.053Z,8,8,MANAGER,2024-05-06T17:34:37.053Z,73d7f9fa-2797-4a8d-b408-9bb744c7b7df
9,2024-05-06T17:34:37.055Z,9,9,MANAGER,2024-05-06T17:34:37.055Z,cc2e7b03-5941-4202-b330-9dd5d0c9dfd1
10,2024-05-06T17:34:37.057Z,10,10,MANAGER,2024-05-06T17:34:37.057Z,465bf38c-ec1a-4161-ad4c-c48c7e848374
11,2024-05-06T17:34:38.775Z,16,1,,2024-05-06T17:34:38.775Z,9a098e94-1b87-45bb-a7bd-a4795d6a3697
12,2024-05-06T17:34:38.779Z,17,1,,2024-05-06T17:34:38.779Z,efd0c58c-1107-48d2-8bd3-26458882c6a8
13,2024-05-06T17:34:38.791Z,18,1,,2024-05-06T17:34:38.791Z,f99e12fc-5df8-43a9-9d87-47e6a511cd73
14,2024-05-06T17:34:38.803Z,19,1,,2024-05-06T17:34:38.803Z,90446bae-e273-4d09-9743-396c0a35935e
15,2024-05-06T17:34:38.806Z,20,1,,2024-05-06T17:34:38.806Z,28311dc3-0d7d-468c-9203-2592f6a69778
16,2024-05-06T17:34:39.487Z,16,2,,2024-05-06T17:34:39.487Z,04760831-02cd-4135-b6d7-10aea81f01aa
17,2024-05-06T17:34:39.493Z,17,2,,2024-05-06T17:34:39.493Z,9d0bd4d0-9ee0-4518-91b8-2cadbfd3bffd
18,2024-05-06T17:34:39.505Z,18,2,,2024-05-06T17:34:39.505Z,283d5bfd-15ed-4c49-bf5a-bad451789050
19,2024-05-06T17:34:39.516Z,19,2,,2024-05-06T17:34:39.516Z,17b97141-fdf7-4cbc-8d65-c96b5829e4d1
20,2024-05-06T17:34:39.519Z,20,2,,2024-05-06T17:34:39.519Z,8695e390-fdf5-447b-8ee7-2d070685d986
21,2024-05-06T17:34:40.205Z,16,3,,2024-05-06T17:34:40.205Z,d25dfeaa-0723-42b8-a564-2fb16f8bb670
22,2024-05-06T17:34:40.210Z,17,3,,2024-05-06T17:34:40.210Z,500238bd-2cb5-4410-9431-6e847eb5691e
23,2024-05-06T17:34:40.223Z,18,3,,2024-05-06T17:34:40.223Z,8fa7ad1f-a777-4bff-98ce-710b9d72d235
24,2024-05-06T17:34:40.235Z,19,3,,2024-05-06T17:34:40.235Z,03ed3256-fa85-4eb8-9af8-620c1e776e42
25,2024-05-06T17:34:40.238Z,20,3,,2024-05-06T17:34:40.238Z,f057089b-9b38-482f-a7c0-bbb4dc837d99
26,2024-05-06T17:34:40.929Z,16,4,,2024-05-06T17:34:40.929Z,d705394b-5122-4890-b9d4-35c3356d82c1
27,2024-05-06T17:34:40.934Z,17,4,,2024-05-06T17:34:40.934Z,624740c5-ba86-47a5-97dc-fa57f21884b3
28,2024-05-06T17:34:40.948Z,18,4,,2024-05-06T17:34:40.948Z,c03ea029-626c-4df3-af0b-677c0d3a4e6c
29,2024-05-06T17:34:40.960Z,19,4,,2024-05-06T17:34:40.960Z,09fd2e60-f1a0-4648-a1d7-fb534e60453b
30,2024-05-06T17:34:40.962Z,20,4,,2024-05-06T17:34:40.962Z,adf3996a-029e-4c4b-809e-f78dac9264ab
31,2024-05-06T17:34:41.653Z,16,5,,2024-05-06T17:34:41.653Z,c15dff77-80d0-4cd7-b05f-35cfa80f6a9b
32,2024-05-06T17:34:41.658Z,17,5,,2024-05-06T17:34:41.658Z,192b5876-0892-4cba-9776-39fdec334e41
