id,device_identifier,successful,user_id
Xcmhjq41ZgCnCW5uXELoU2,device_1,true,JYSBE1vUgDJaPRw24Wwwqg
BBM91EjQJUW1r9rPSomBQs,device_2,true,C88WACkAdokmBCS9n7EX9X
6d7Hpk13f8xhCURyKxA1kk,device_3,false,Cjs1ZUFh3hVVch4f1aYbAb
AzAq96drjQit839PcJdxxy,device_4,true,GRDLxHCPX6b1fzmiQUmvFX
TSsvtdpKDxwHSkFQ7SWG4m,device_5,true,CBtfEizKEqvuBXduKcjDza
Fe8RaDESBxSm63xGm4WrEW,device_6,false,RsRic6uijYx1C5JgniMgR7
3hJcF7zuP5T5hNPbPWe34e,device_7,true,HoKhZ7YN45uv2Vjf8GSfEa
U6WpnGgLqGyp5VLYWAvgtC,device_8,true,JWnpGTvLyWgaL792JcDFYF
KjAN4Gxwx67BggXfmYkfXn,device_9,false,CUiPcEmYGjSH9nNcYuTqRK
PpgZNrkH18VtUwJxYfgmLN,device_10,true,3uv5pNcy14GWaGXSuRh6mh
