id,bounty,created_at,expected_finish_date,person,status,updated_at,accepted_bid
1,1,2024-05-07T10:00:00Z,2024-05-21,2,ACTIVE,2024-05-07T10:00:00Z,
2,2,2024-05-07T11:30:00Z,2024-05-25,3,ACTIVE,2024-05-07T11:30:00Z,
3,3,2024-05-08T09:15:00Z,2024-05-30,12,ACTIVE,2024-05-08T09:15:00Z,
4,4,2024-05-08T14:45:00Z,2024-06-05,13,COMPLETED,2024-05-08T14:45:00Z,
5,5,2024-05-09T08:30:00Z,2024-05-28,4,ACTIVE,2024-05-09T08:30:00Z,
6,1,2024-05-09T13:00:00Z,2024-05-23,5,REJECTED,2024-05-09T13:00:00Z,
7,2,2024-05-10T10:30:00Z,2024-05-27,6,CANCELLED,2024-05-10T10:30:00Z,
8,3,2024-05-10T16:15:00Z,2024-06-02,7,ACTIVE,2024-05-10T16:15:00Z,
9,4,2024-05-11T09:45:00Z,2024-06-07,8,REJECTED,2024-05-11T09:45:00Z,
10,5,2024-05-11T14:30:00Z,2024-05-30,9,ACTIVE,2024-05-11T14:30:00Z,
11,1,2024-05-12T11:00:00Z,2024-05-25,10,ACTIVE,2024-05-12T11:00:00Z,
12,2,2024-05-12T15:45:00Z,2024-05-29,11,ACTIVE,2024-05-12T15:45:00Z,
13,3,2024-05-13T08:30:00Z,2024-06-04,14,CANCELLED,2024-05-13T08:30:00Z,
14,4,2024-05-13T13:15:00Z,2024-06-09,15,ACTIVE,2024-05-13T13:15:00Z,
15,5,2024-05-14T10:00:00Z,2024-06-01,16,ACTIVE,2024-05-14T10:00:00Z,
16,1,2024-05-14T14:45:00Z,2024-05-27,17,REJECTED,2024-05-14T14:45:00Z,
17,2,2024-05-15T09:30:00Z,2024-05-31,18,ACTIVE,2024-05-15T09:30:00Z,
18,3,2024-05-15T15:00:00Z,2024-06-06,19,ACTIVE,2024-05-15T15:00:00Z,
19,4,2024-05-16T10:45:00Z,2024-06-11,20,CANCELLED,2024-05-16T10:45:00Z,
20,5,2024-05-16T14:30:00Z,2024-06-03,21,ACTIVE,2024-05-16T14:30:00Z,
21,1,2024-05-17T09:15:00Z,2024-05-29,22,ACTIVE,2024-05-17T09:15:00Z,
22,2,2024-05-17T13:45:00Z,2024-06-02,23,REJECTED,2024-05-17T13:45:00Z,
23,3,2024-05-18T10:30:00Z,2024-06-08,24,ACTIVE,2024-05-18T10:30:00Z,
24,4,2024-05-18T15:00:00Z,2024-06-13,25,ACTIVE,2024-05-18T15:00:00Z,
25,5,2024-05-19T11:15:00Z,2024-06-05,26,ACTIVE,2024-05-19T11:15:00Z,
