id,uuid,cart_id,item_type,quantity,unit_price_cents,unit_price_points,bounty_id,related_bounty_bid_id,created_at,updated_at
1,f47ac10b-58cc-4372-a567-0e02b2c3d479,1,BOUNTY,1,50000,0,1,,2024-10-09 18:30:00,2024-10-09 18:30:00
2,550e8400-e29b-41d4-a716-446655440000,1,PLATFORM_FEE,1,5000,0,,,2024-10-09 18:30:00,2024-10-09 18:30:00
3,717f4c3c-0e4d-4d5e-9ae3-a1b2c3d4e5f6,1,SALES_TAX,1,2500,0,,,2024-10-09 18:30:00,2024-10-09 18:30:00
4,8a7b6c5d-4e3f-2d1c-0b9a-8c7d6e5f4g3h,2,BOUNTY,1,0,1000,2,,2024-10-09 18:31:00,2024-10-09 18:31:00
5,9i8h7g6f-5e4d-3c2b-1a0z-9y8x7w6v5u4t,3,BOUNTY,1,75000,0,3,,2024-10-09 18:32:00,2024-10-09 18:32:00
6,0j9i8h7g-6f5e-4d3c-2b1a-0z9y8x7w6v5u,3,PLATFORM_FEE,1,7500,0,,,2024-10-09 18:32:00,2024-10-09 18:32:00
7,1k2j3i4h-7g6f-5e4d-3c2b-1a0z9y8x7w6v,4,BOUNTY,1,0,1500,4,,2024-10-09 18:33:00,2024-10-09 18:33:00
8,2l3k4j5i-8h7g-6f5e-4d3c-2b1a0z9y8x7w,5,BOUNTY,1,100000,0,5,,2024-10-09 18:34:00,2024-10-09 18:34:00
9,3m4l5k6j-9i8h-7g6f-5e4d-3c2b1a0z9y8x,5,PLATFORM_FEE,1,10000,0,,,2024-10-09 18:34:00,2024-10-09 18:34:00
10,4n5m6l7k-0j9i-8h7g-6f5e-4d3c2b1a0z9y,5,SALES_TAX,1,5000,0,,,2024-10-09 18:34:00,2024-10-09 18:34:00
11,5o6n7m8l-1k0j-9i8h-7g6f-5e4d3c2b1a0z,6,BOUNTY,1,0,2000,6,,2024-10-09 18:35:00,2024-10-09 18:35:00
12,6p7o8n9m-2l1k-0j9i-8h7g-6f5e4d3c2b1a,7,BOUNTY,1,30000,0,7,,2024-10-09 18:36:00,2024-10-09 18:36:00
13,7q8p9o0n-3m2l-1k0j-9i8h-7g6f5e4d3c2b,7,PLATFORM_FEE,1,3000,0,,,2024-10-09 18:36:00,2024-10-09 18:36:00
14,8r9q0p1o-4n3m-2l1k-0j9i-8h7g6f5e4d3c,8,BOUNTY,1,0,2500,8,,2024-10-09 18:37:00,2024-10-09 18:37:00
15,9s0r1q2p-5o4n-3m2l-1k0j-9i8h7g6f5e4d,9,BOUNTY,1,120000,0,9,,2024-10-09 18:38:00,2024-10-09 18:38:00
16,0t1s2r3q-6p5o-4n3m-2l1k-0j9i8h7g6f5e,9,PLATFORM_FEE,1,12000,0,,,2024-10-09 18:38:00,2024-10-09 18:38:00
17,1u2t3s4r-7q6p-5o4n-3m2l-1k0j9i8h7g6f,9,SALES_TAX,1,6000,0,,,2024-10-09 18:38:00,2024-10-09 18:38:00
18,2v3u4t5s-8r7q-6p5o-4n3m-2l1k0j9i8h7g,10,BOUNTY,1,0,1800,10,,2024-10-09 18:39:00,2024-10-09 18:39:00
19,3w4v5u6t-9s8r-7q6p-5o4n-3m2l1k0j9i8h,1,INCREASE_ADJUSTMENT,1,10000,0,1,1,2024-10-09 18:40:00,2024-10-09 18:40:00
20,4x5w6v7u-0t9s-8r7q-6p5o-4n3m2l1k0j9i,2,DECREASE_ADJUSTMENT,1,5000,0,2,2,2024-10-09 18:41:00,2024-10-09 18:41:00
