id,name,country,tax_id,created_at,updated_at
1,TechCorp,US,123456789,2024-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00
2,EuroSoft,DE,987654321,2024-01-01 00:00:00+01:00,2024-01-01 00:00:00+01:00
3,AsiaCode,JP,1234567890,2024-01-01 00:00:00+09:00,2024-01-01 00:00:00+09:00
4,CanDev,CA,1234567890001,2024-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00
5,AussieTech,AU,12345678901,2024-01-01 00:00:00+10:00,2024-01-01 00:00:00+10:00
6,BritishBytes,UK,123456789,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
7,NordicSoft,SE,123456789101,2024-01-01 00:00:00+01:00,2024-01-01 00:00:00+01:00
8,AfriTech,ZA,1234567890,2024-01-01 00:00:00+02:00,2024-01-01 00:00:00+02:00
9,BrazilDev,BR,12345678/0001-90,2024-01-01 00:00:00-03:00,2024-01-01 00:00:00-03:00
10,IndiaCode,IN,12345,2024-01-01 00:00:00+05:30,2024-01-01 00:00:00+05:30
11,RussDev,RS,712345678,2024-01-01 00:00:00+03:00,2024-01-01 00:00:00+03:00
12,MexiSoft,MX,123456,2024-01-01 00:00:00-06:00,2024-01-01 00:00:00-06:00
