id,event_type,permitted_params,title,template
1,1,user_name;reset_link,Password Reset,password_reset_template
2,2,user_name;verification_code,Email Verification,email_verification_template
3,3,user_name;bounty_title,New Bounty Available,new_bounty_template
4,4,user_name;product_name,Product Update,product_update_template
5,5,user_name;challenge_title,Challenge Invitation,challenge_invitation_template
6,6,user_name;competition_title,Competition Announcement,competition_announcement_template
7,7,user_name;agreement_title,New Contributor Agreement,new_agreement_template
8,8,user_name;bug_title,Bug Report Update,bug_update_template
9,9,user_name;idea_title,Idea Approval,idea_approval_template
10,10,user_name;payment_amount,Payment Confirmation,payment_confirmation_template
