id,created_at,updated_at,bounty_id,person_id,accepted_bid_id,status
1,2024-05-15T10:00:00Z,2024-05-15T10:00:00Z,1,3,1,Active
2,2024-05-16T11:30:00Z,2024-05-16T11:30:00Z,2,5,3,Completed
3,2024-05-17T09:15:00Z,2024-05-17T09:15:00Z,3,2,,Active
4,2024-05-18T14:45:00Z,2024-05-18T14:45:00Z,4,9,5,Active
5,2024-05-19T16:20:00Z,2024-05-19T16:20:00Z,5,2,6,Completed
6,2024-05-20T13:10:00Z,2024-05-20T13:10:00Z,6,8,,Active
7,2024-05-21T15:55:00Z,2024-05-21T15:55:00Z,7,4,12,Active
8,2024-05-22T10:40:00Z,2024-05-22T10:40:00Z,8,6,15,Completed
9,2024-05-23T12:25:00Z,2024-05-23T12:25:00Z,9,7,,Active
10,2024-05-24T14:50:00Z,2024-05-24T14:50:00Z,10,10,18,Active
